"","Plot_ID","n_months","var_name","sim_value","obs_value","residual_value"
"352",16,209,"basal_area",30.0723574099942,29.4,-0.672357409994213
"353",17,72,"basal_area",35.8561751729488,41.1,5.2438248270512
"354",17,171,"basal_area",23.225124011009,48.6,25.374875988991
"355",17,240,"basal_area",29.6099434874025,34.2,4.59005651259751
"356",18,72,"basal_area",40.0003705078202,39.7,-0.300370507820219
"357",18,171,"basal_area",27.2103059022907,40.7999999999999,13.5896940977092
"358",18,239,"basal_area",33.8381577039481,35,1.16184229605191
"359",18,275,"basal_area",33.4050483585832,32.2,-1.20504835858317
"360",18,398,"basal_area",42.5221639333607,42.8,0.277836066639253
"361",19,72,"basal_area",39.19724083153,42.5,3.30275916846998
"362",19,171,"basal_area",25.5107122077825,47.8,22.2892877922175
"363",19,239,"basal_area",32.0782767559418,40.0999999999999,8.02172324405814
"364",19,275,"basal_area",34.2226692539979,41.7,7.47733074600214
"365",19,398,"basal_area",41.0840907759422,52.6,11.5159092240578
"366",20,72,"basal_area",35.6610383326977,42.7,7.03896166730235
"367",20,174,"basal_area",22.3822911037127,51.4,29.0177088962873
"368",20,240,"basal_area",28.9551666936816,42.6,13.6448333063184
"369",20,275,"basal_area",26.3374233201684,31.4,5.0625766798316
"370",20,398,"basal_area",34.7662115887609,41.1999999999999,6.43378841123901
"371",21,72,"basal_area",32.1229255120859,34.4,2.27707448791406
"372",21,171,"basal_area",21.2181096019589,38.6,17.3818903980411
"373",21,209,"basal_area",24.6260303435309,27.1,2.47396965646912
"374",22,72,"basal_area",25.9823431253752,34.5,8.51765687462482
"375",22,171,"basal_area",25.7386519198909,41.9,16.1613480801091
"376",22,209,"basal_area",28.3451341875079,28.7,0.354865812492068
"377",23,72,"basal_area",31.2239706985598,32.8,1.57602930144021
"378",23,171,"basal_area",22.1022110733343,36.2999999999999,14.1977889266656
"379",23,239,"basal_area",28.6820169825228,30.5,1.81798301747721
"380",23,275,"basal_area",29.4810538142016,30.1,0.618946185798432
"381",23,398,"basal_area",35.7782936315091,38.7,2.92170636849092
"382",24,72,"basal_area",24.9542930368383,29.8,4.8457069631617
"383",24,171,"basal_area",25.1462813166833,36.1,10.9537186833167
"384",24,239,"basal_area",27.8189038976811,31.5,3.68109610231885
"385",24,275,"basal_area",30.1306313343945,29.1,-1.03063133439453
"386",24,398,"basal_area",39.4559927577518,40.4,0.944007242248162
"387",25,72,"basal_area",20.8368153367346,23.2,2.36318466326539
"388",25,94,"basal_area",20.0046218751406,24.2,4.1953781248594
"389",25,145,"basal_area",25.6109803721487,22.6,-3.01098037214866
"390",25,241,"basal_area",31.321289312814,30.6,-0.721289312813973
"391",25,289,"basal_area",35.7901415239215,27.2,-8.59014152392153
"392",25,337,"basal_area",36.1714472336404,31.3,-4.87144723364041
"393",25,421,"basal_area",42.8486470646693,28.9,-13.9486470646693
"394",25,528,"basal_area",52.6602083284496,34.9,-17.7602083284496
"395",25,661,"basal_area",61.2238250722272,41.1,-20.1238250722272
"396",26,72,"basal_area",21.7395293280976,30.8,9.06047067190244
"397",26,94,"basal_area",20.398869575572,24.5,4.101130424428
"398",26,145,"basal_area",25.9375207646654,16.8,-9.13752076466538
"399",26,241,"basal_area",35.5600177700822,25.9,-9.66001777008216
"400",26,289,"basal_area",40.2518508535789,29.4,-10.8518508535789
"401",26,337,"basal_area",44.7626227661441,33.6,-11.1626227661441
"402",26,421,"basal_area",50.9939854416099,38.5,-12.4939854416099
"403",26,528,"basal_area",60.5242027237035,43.9,-16.6242027237035
"404",26,661,"basal_area",66.9934591156592,51.8,-15.1934591156592
"405",27,72,"basal_area",19.1992978744625,24.7,5.50070212553746
"406",27,94,"basal_area",20.9091710428558,25.5,4.59082895714416
"407",27,145,"basal_area",25.4948778418122,23,-2.49487784181222
"408",27,241,"basal_area",32.986703222378,31.6,-1.38670322237802
"409",27,289,"basal_area",37.4844820505225,26.2,-11.2844820505225
"410",27,337,"basal_area",43.7046401462025,30.7,-13.0046401462025
"411",27,421,"basal_area",55.0700199585778,30.6,-24.4700199585778
"412",27,528,"basal_area",62.1651730582108,36.2,-25.9651730582108
"413",27,661,"basal_area",68.5606948230445,42.8,-25.7606948230445
"414",28,72,"basal_area",22.6115354834328,32.1,9.48846451656718
"415",28,145,"basal_area",26.3905337505731,29.4,3.00946624942687
"416",28,241,"basal_area",32.1838666292858,31.4,-0.783866629285818
"417",28,289,"basal_area",36.8124110764436,26.9,-9.91241107644365
"418",28,337,"basal_area",36.8305502679361,31.7,-5.13055026793611
"419",28,421,"basal_area",43.1114416518907,29.1,-14.0114416518907
"420",28,528,"basal_area",52.2756803006431,34.4,-17.8756803006431
"421",28,661,"basal_area",61.0902816290741,40.5,-20.5902816290741
"422",29,72,"basal_area",21.5371989268551,26.3,4.76280107314487
"423",29,145,"basal_area",26.8478860273879,27.9,1.05211397261207
"424",29,241,"basal_area",34.0368527256139,32.1,-1.9368527256139
"425",29,289,"basal_area",38.0957103095419,25.7,-12.3957103095419
"426",29,337,"basal_area",40.0735221224847,30.6,-9.47352212248466
"427",29,421,"basal_area",44.2261700534156,30.2,-14.0261700534156
"428",29,528,"basal_area",51.069058644064,35.4,-15.669058644064
"429",29,661,"basal_area",56.1316899490234,41.8,-14.3316899490234
"430",30,72,"basal_area",24.2007797215622,30.2,5.99922027843781
"431",30,94,"basal_area",21.7139967978721,31.3,9.58600320212794
"432",30,145,"basal_area",27.2744756117803,25,-2.27447561178032
"433",30,241,"basal_area",31.6370065398593,35.9,4.2629934601407
"434",30,289,"basal_area",36.1385148969155,21.2,-14.9385148969155
"435",30,337,"basal_area",40.6832344053589,25.4,-15.2832344053589
"436",30,421,"basal_area",47.2689323119346,31,-16.2689323119346
"437",30,528,"basal_area",56.193582557336,36.4,-19.793582557336
"438",30,661,"basal_area",66.0469659946757,41.8,-24.2469659946757
"439",31,72,"basal_area",23.086264597416,28,4.91373540258396
"440",31,145,"basal_area",27.1982883494611,33.2,6.00171165053894
"441",31,241,"basal_area",35.5308815368348,36.4,0.869118463165186
"442",31,289,"basal_area",39.5553644566884,39.4,-0.155364456688389
"443",31,337,"basal_area",41.2791978925476,43.5,2.22080210745235
"444",31,421,"basal_area",45.6054453018774,46.9,1.29455469812261
"445",31,528,"basal_area",49.1937886575413,51.1,1.90621134245868
